# CSV fallback backend, not guaranteed MultiVu-compatible
# metadata={"config_sample_metadata": {"description": "LS372 + PPMS resistivity measurement", "material": "LS372 + PPMS resistivity measurement", "operator": "Lab user", "sample_id": "Sample-001"}, "data_backend": "csv", "dry_run": true, "instrument_simulation": {"global": true, "lakeshore": true, "ppms": true}, "lakeshore": {"connected": true, "driver": "mock", "model": "LS372"}, "run_metadata": {"data_backend": "csv", "dry_run": true, "gui": true, "instrument_simulation": {"global": true, "lakeshore": true, "ppms": true}, "output_path": "C:\\Users\\mscoo\\GIT_projects\\resistivity372\\Sample-001_20260827_183854_LS372_resistivity.dat", "run": {"operator": "Lab user"}, "sample": {"material": "LS372 + PPMS resistivity measurement", "sample_id": "Sample-001"}, "sample_geometry": {"length": {"unit": "mm", "value": 1.2}, "thickness": {"unit": "um", "value": 20.0}, "width": {"unit": "mm", "value": 0.5}}, "started_at": "2026-08-27T18:40:43.107619-04:00"}, "sample_geometry": {"length": {"unit": "mm", "value": 1.2}, "thickness": {"unit": "um", "value": 20.0}, "width": {"unit": "mm", "value": 0.5}}, "sequence_metadata": {"experiment_type": "rho_vs_h_stepped", "generated_by": "resistivity372 transport sequence builder"}}
Timestamp UTC,Elapsed Time (s),PPMS Temperature (K),PPMS Temperature Status,PPMS Field (T),PPMS Field Status,PPMS Chamber Status,PPMS Position (deg),PPMS Position Status,LakeShore Channel,Resistance (Ohm),Resistivity (Ohm m),Resistivity (Ohm cm),LS372 Temperature (K),Excitation Power (W),Excitation Current (A),Quadrature (Ohm),Sequence Step Index,Sequence Step Name,Comment,Error
2026-08-27T22:40:43.208503+00:00,0.00022789998911321163,10.0,stable,-1.0,stable,sealed,,None,1,99.98754955596853,0.000833229579633071,0.0833229579633071,,1e-12,,0.0005075381425092823,3,"rho(H) T=10 K, B=-1 T",,
2026-08-27T22:40:44.208894+00:00,1.000620000064373,10.0,stable,-1.0,stable,sealed,,None,1,100.02873730144158,0.0008335728108453465,0.08335728108453465,,1e-12,,0.0019054510398730893,3,"rho(H) T=10 K, B=-1 T",,
2026-08-27T22:40:45.209318+00:00,2.0010432999115437,10.0,stable,-1.0,stable,sealed,,None,1,100.00951840601162,0.0008334126533834302,0.08334126533834302,,1e-12,,-0.0006559023836389997,3,"rho(H) T=10 K, B=-1 T",,
2026-08-27T22:40:46.210238+00:00,3.001964299939573,10.0,stable,-0.95,stable,sealed,,None,1,100.0331405581822,0.0008336095046515183,0.08336095046515182,,1e-12,,-2.115511693244704e-05,5,"rho(H) T=10 K, B=-0.95 T",,
2026-08-27T22:40:47.210413+00:00,4.002141099888831,10.0,stable,-0.95,stable,sealed,,None,1,100.04169601656363,0.0008336808001380302,0.08336808001380303,,1e-12,,0.000551653581880444,5,"rho(H) T=10 K, B=-0.95 T",,
2026-08-27T22:40:48.210966+00:00,5.0027000000700355,10.0,stable,-0.95,stable,sealed,,None,1,100.0391840497668,0.00083365986708139,0.08336598670813901,,1e-12,,-0.0016453543229560906,5,"rho(H) T=10 K, B=-0.95 T",,
2026-08-27T22:40:49.211799+00:00,6.003527799854055,10.0,stable,-0.9,stable,sealed,,None,1,100.06361090338712,0.0008338634241948925,0.08338634241948925,,1e-12,,-0.0004760574139252684,7,"rho(H) T=10 K, B=-0.9 T",,
2026-08-27T22:40:50.212112+00:00,7.003843599930406,10.0,stable,-0.9,stable,sealed,,None,1,100.06450975430288,0.0008338709146191906,0.08338709146191906,,1e-12,,0.0022752013850355743,7,"rho(H) T=10 K, B=-0.9 T",,
2026-08-27T22:40:51.212401+00:00,8.004133000038564,10.0,stable,-0.9,stable,sealed,,None,1,100.0780391938396,0.0008339836599486634,0.08339836599486633,,1e-12,,4.2705108120777685e-06,7,"rho(H) T=10 K, B=-0.9 T",,
2026-08-27T22:40:52.213143+00:00,9.004868099931628,10.0,stable,-0.85,stable,sealed,,None,1,100.08431111444627,0.0008340359259537189,0.08340359259537189,,1e-12,,-0.0003409220951808103,9,"rho(H) T=10 K, B=-0.85 T",,
2026-08-27T22:40:53.213578+00:00,10.005305799888447,10.0,stable,-0.85,stable,sealed,,None,1,100.1040547244744,0.0008342004560372866,0.08342004560372866,,1e-12,,-0.0013878483149862824,9,"rho(H) T=10 K, B=-0.85 T",,
2026-08-27T22:40:54.219310+00:00,11.011036299867555,10.0,stable,-0.85,stable,sealed,,None,1,100.1030357025916,0.0008341919641882632,0.08341919641882632,,1e-12,,0.0002487404933021556,9,"rho(H) T=10 K, B=-0.85 T",,
2026-08-27T22:40:55.219908+00:00,12.01163399987854,10.0,stable,-0.8,stable,sealed,,None,1,100.11864874986146,0.0008343220729155121,0.08343220729155121,,1e-12,,-1.0288831907011744e-05,11,"rho(H) T=10 K, B=-0.8 T",,
2026-08-27T22:40:56.220300+00:00,13.012032399885356,10.0,stable,-0.8,stable,sealed,,None,1,100.11619187367786,0.0008343015989473154,0.08343015989473154,,1e-12,,0.0006375181320872748,11,"rho(H) T=10 K, B=-0.8 T",,
2026-08-27T22:40:57.220902+00:00,14.012637600069866,10.0,stable,-0.8,stable,sealed,,None,1,100.1277984679318,0.0008343983205660983,0.08343983205660983,,1e-12,,-8.467489743744953e-05,11,"rho(H) T=10 K, B=-0.8 T",,
2026-08-27T22:40:58.221501+00:00,15.013230500044301,10.0,stable,-0.75,stable,sealed,,None,1,100.11104283053119,0.0008342586902544265,0.08342586902544265,,1e-12,,-9.805773374598026e-05,13,"rho(H) T=10 K, B=-0.75 T",,
2026-08-27T22:40:59.221823+00:00,16.013549499912187,10.0,stable,-0.75,stable,sealed,,None,1,100.14683514352025,0.0008345569595293353,0.08345569595293353,,1e-12,,-0.0017372104298494665,13,"rho(H) T=10 K, B=-0.75 T",,
2026-08-27T22:41:00.222357+00:00,17.01408699993044,10.0,stable,-0.75,stable,sealed,,None,1,100.14772131046061,0.0008345643442538383,0.08345643442538384,,1e-12,,0.0008285841828149443,13,"rho(H) T=10 K, B=-0.75 T",,
2026-08-27T22:41:01.223042+00:00,18.014767799992114,10.0,stable,-0.7,stable,sealed,,None,1,100.1579541552293,0.0008346496179602441,0.0834649617960244,,1e-12,,-0.0006833847746111137,15,"rho(H) T=10 K, B=-0.7 T",,
2026-08-27T22:41:02.223270+00:00,19.014996599871665,10.0,stable,-0.7,stable,sealed,,None,1,100.15983719775335,0.0008346653099812779,0.08346653099812779,,1e-12,,0.00042080320963518473,15,"rho(H) T=10 K, B=-0.7 T",,
2026-08-27T22:41:03.223649+00:00,20.01538120000623,10.0,stable,-0.7,stable,sealed,,None,1,100.1472640616206,0.0008345605338468383,0.08345605338468383,,1e-12,,-0.00035244171843985686,15,"rho(H) T=10 K, B=-0.7 T",,
2026-08-27T22:41:04.224421+00:00,21.016149299917743,10.0,stable,-0.65,stable,sealed,,None,1,100.16870863290814,0.0008347392386075678,0.08347392386075678,,1e-12,,-8.46960148120915e-05,17,"rho(H) T=10 K, B=-0.65 T",,
2026-08-27T22:41:05.224803+00:00,22.01653250004165,10.0,stable,-0.65,stable,sealed,,None,1,100.17274587279037,0.0008347728822732531,0.08347728822732531,,1e-12,,-0.0006564073661333765,17,"rho(H) T=10 K, B=-0.65 T",,
2026-08-27T22:41:06.225287+00:00,23.017017500009388,10.0,stable,-0.65,stable,sealed,,None,1,100.16670563722961,0.0008347225469769134,0.08347225469769134,,1e-12,,-0.0009754764067507024,17,"rho(H) T=10 K, B=-0.65 T",,
2026-08-27T22:41:07.226828+00:00,24.018552500056103,10.0,stable,-0.6,stable,sealed,,None,1,100.19890188432912,0.0008349908490360759,0.08349908490360759,,1e-12,,0.0002827139929588978,19,"rho(H) T=10 K, B=-0.6 T",,
2026-08-27T22:41:08.227288+00:00,25.019013500073925,10.0,stable,-0.6,stable,sealed,,None,1,100.18757153233067,0.0008348964294360888,0.08348964294360887,,1e-12,,-0.0005679867559552961,19,"rho(H) T=10 K, B=-0.6 T",,
2026-08-27T22:41:09.227808+00:00,26.01953409984708,10.0,stable,-0.6,stable,sealed,,None,1,100.19987210227055,0.0008349989341855879,0.08349989341855879,,1e-12,,0.0005263064116323646,19,"rho(H) T=10 K, B=-0.6 T",,
2026-08-27T22:41:10.227960+00:00,27.019685399951413,10.0,stable,-0.55,stable,sealed,,None,1,100.20416913396416,0.0008350347427830345,0.08350347427830346,,1e-12,,0.0009807401961986427,21,"rho(H) T=10 K, B=-0.55 T",,
2026-08-27T22:41:11.228504+00:00,28.02023099991493,10.0,stable,-0.55,stable,sealed,,None,1,100.19399700891815,0.0008349499750743179,0.08349499750743179,,1e-12,,0.0017362247490355024,21,"rho(H) T=10 K, B=-0.55 T",,
2026-08-27T22:41:12.228547+00:00,29.020272199995816,10.0,stable,-0.55,stable,sealed,,None,1,100.2106502798494,0.0008350887523320784,0.08350887523320784,,1e-12,,0.0007647821778537995,21,"rho(H) T=10 K, B=-0.55 T",,
2026-08-27T22:41:13.232273+00:00,30.02399959997274,10.0,stable,-0.5,stable,sealed,,None,1,100.20215625113865,0.0008350179687594887,0.08350179687594887,,1e-12,,-0.0004599731164690688,23,"rho(H) T=10 K, B=-0.5 T",,
2026-08-27T22:41:14.232451+00:00,31.02417719992809,10.0,stable,-0.5,stable,sealed,,None,1,100.19182023418513,0.000834931835284876,0.0834931835284876,,1e-12,,0.0009748511927585174,23,"rho(H) T=10 K, B=-0.5 T",,
2026-08-27T22:41:15.233047+00:00,32.024778299964964,10.0,stable,-0.5,stable,sealed,,None,1,100.20006030068807,0.0008350005025057339,0.08350005025057339,,1e-12,,-8.115822175257778e-05,23,"rho(H) T=10 K, B=-0.5 T",,
2026-08-27T22:41:16.233644+00:00,33.02537199994549,10.0,stable,-0.45,stable,sealed,,None,1,100.18233650115921,0.0008348528041763266,0.08348528041763266,,1e-12,,1.397361891456436e-05,25,"rho(H) T=10 K, B=-0.45 T",,
2026-08-27T22:41:17.233765+00:00,34.02549139992334,10.0,stable,-0.45,stable,sealed,,None,1,100.19779321607324,0.0008349816101339436,0.08349816101339436,,1e-12,,-0.0014466159532790894,25,"rho(H) T=10 K, B=-0.45 T",,
2026-08-27T22:41:18.234164+00:00,35.025896599981934,10.0,stable,-0.45,stable,sealed,,None,1,100.18160262248088,0.0008348466885206739,0.0834846688520674,,1e-12,,-0.001103754201552953,25,"rho(H) T=10 K, B=-0.45 T",,
2026-08-27T22:41:19.235480+00:00,36.02722799987532,10.0,stable,-0.4,stable,sealed,,None,1,100.20972257428556,0.0008350810214523796,0.08350810214523796,,1e-12,,-0.0008417286089403523,27,"rho(H) T=10 K, B=-0.4 T",,
2026-08-27T22:41:20.235819+00:00,37.02754659997299,10.0,stable,-0.4,stable,sealed,,None,1,100.20323173470065,0.0008350269311225055,0.08350269311225055,,1e-12,,0.0011566051996474128,27,"rho(H) T=10 K, B=-0.4 T",,
2026-08-27T22:41:21.235873+00:00,38.027598900021985,10.0,stable,-0.4,stable,sealed,,None,1,100.18245391541102,0.0008348537826284252,0.08348537826284251,,1e-12,,0.0010827783879537708,27,"rho(H) T=10 K, B=-0.4 T",,
2026-08-27T22:41:22.236463+00:00,39.02818739996292,10.0,stable,-0.35,stable,sealed,,None,1,100.18978568064637,0.000834914880672053,0.0834914880672053,,1e-12,,0.000666491922186911,29,"rho(H) T=10 K, B=-0.35 T",,
2026-08-27T22:41:23.236712+00:00,40.02843749988824,10.0,stable,-0.35,stable,sealed,,None,1,100.1714377508558,0.0008347619812571316,0.08347619812571316,,1e-12,,0.0002625368856835841,29,"rho(H) T=10 K, B=-0.35 T",,
